Cap,#,Player,DOB,HT,WT,Games (W-D-L),Goals,Seasons,Debut,Last
382,3,"Ablett, Len",1916-05-10,184cm,87kg,70 (48-0-22),5,1939-1943,22y 347d,27y 138d
291,10,"Fincher, Jack",1904-11-27,168cm,72kg,69 (47-1-21),54,1927-1930,22y 154d,25y 304d
537,23,"Dunin, Frank",1935-06-29,188cm,85kg,69 (29-1-39),29,"1953, 1955-1959",18y 5d,24y 61d
579,4,"Cuzens, Dave",1932-12-11,182cm,85kg,69 (21-2-46),3,1957-1961,24y 193d,28y 237d
442,26,"Wiggins, Bob",1925-11-08,185cm,89kg,68 (39-0-29),2,1944-1951,18y 285d,25y 262d
1022,36,"Zantuck, Ty",1982-02-15,188cm,93kg,68 (19-0-49),20,2000-2004,18y 159d,22y 189d
1162,5,"Ross, Jack",2000-09-03,187cm,85kg,68 (34-2-32),15,2019-2024,18y 222d,23y 217d
532,18,"Hafey, Tom",1931-08-05,173cm,76kg,67 (28-1-38),10,1953-1958,21y 298d,27y 18d
384,8,"Smith, Laird",1913-07-16,170cm,71kg,66 (47-0-19),73,"1939-1941, 1945",25y 280d,32y 26d
426,15,"Mooney, Arthur",1924-12-14,180cm,79kg,66 (36-1-29),94,1943-1948,18y 180d,23y 132d
718,19,"Boyanich, Ray",1947-02-04,193cm,92kg,66 (43-1-22),44,"1970-1972, 1976",23y 80d,29y 192d
771,17,"Edwards, Allan",1957-11-12,188cm,90kg,66 (34-2-30),84,1975-1979,17y 200d,21y 174d
600,37,"Thompson, John",1938-06-21,185cm,76kg,65 (12-1-52),,1959-1963,20y 336d,25y 57d
855,5,"Annear, John",1961-06-17,178cm,80kg,65 (26-0-39),43,1984-1986,22y 295d,25y 74d
1028,18,"Rodan, David",1983-10-08,173cm,87kg,65 (19-0-46),43,"2002-2004, 2006",18y 171d,22y 294d
282,2,"Harris, Don",1905-06-27,174cm,72kg,64 (43-1-20),5,1926-1930,20y 343d,25y 50d
324,28,"Strang, Doug",1912-07-12,185cm,80kg,64 (51-1-12),180,1931-1935,18y 294d,22y 338d
347,13,"Chirgwin, Dick",1914-06-26,175cm,73kg,64 (42-1-21),4,1934-1939,20y 39d,25y 5d
907,21,"Powell, Tim",1968-04-14,183cm,80kg,64 (18-0-46),40,1988-1992,19y 361d,24y 110d
1097,24,"Griffiths, Ben",1991-09-17,200cm,101kg,63 (36-0-27),42,2010-2017,18y 254d,25y 194d
8,,"Incigneri, Len",1884-01-03,180cm,89kg,62 (24-1-37),4,1908-1911,24y 120d,27y 242d
127,4,"Thomas, Bill",1886-11-10,178cm,78kg,62 (24-0-38),3,"1914-1916, 1918-1919",27y 173d,32y 230d
275,23,"Gallagher, Les",1904-07-10,179cm,72kg,62 (42-1-19),27,1926-1929,21y 295d,25y 52d
510,8,"Ryan, Frank",1932-05-01,175cm,70kg,62 (24-1-37),4,1951-1957,19y 116d,25y 38d
864,4,"Eustice, Mark",1963-02-14,183cm,84kg,62 (19-0-43),26,1985-1988,22y 44d,25y 97d
1057,26,"Pattison, Adam",1986-03-05,198cm,97kg,61 (26-2-33),15,2005-2009,19y 71d,23y 150d
1129,26,"Miles, Anthony",1992-02-28,180cm,81kg,61 (35-0-26),24,2014-2018,22y 100d,26y 100d
681,27,"Burgin, Graham",1948-04-04,187cm,86kg,60 (44-0-16),,1965-1971,17y 62d,23y 97d
818,12,"Wall, Matthew",1960-03-05,180cm,75kg,60 (29-1-30),23,1980-1985,20y 24d,25y 179d
91,18,"Keggin, Ted",1891-07-28,188cm,83kg,59 (17-1-41),87,"1912-1914, 1917",20y 274d,25y 337d
218,28,"MacIsaac, Angus",1900-04-15,187cm,80kg,59 (32-0-27),20,"1922-1924, 1926-1927",22y 70d,27y 169d
419,1,"Durham, Ron",1921-06-11,183cm,86kg,59 (37-2-20),,"1943-1944, 1946-1948",21y 331d,27y 85d
443,16,"Jones, Les",1922-10-01,183cm,92kg,59 (33-1-25),23,"1944, 1946-1949",21y 337d,26y 309d
683,2,"Ronaldson, John",1946-10-01,196cm,102kg,59 (38-1-20),33,1965-1970,18y 331d,23y 304d
694,11,"Bowden, Michael",1947-03-21,185cm,94kg,59 (36-0-23),20,1967-1971,20y 74d,24y 125d
860,38,"Manton, John",1963-04-18,191cm,84kg,59 (15-0-44),38,1984-1989,21y 80d,26y 39d
906,2,"Pickering, Justin",1967-08-02,185cm,80kg,59 (18-0-41),54,1988-1991,20y 246d,24y 2d
1076,20,"Morton, Mitch",1987-01-28,184cm,83kg,59 (18-3-38),94,2008-2011,21y 69d,24y 219d
202,7,"Taylor, Ernie",1898-06-10,180cm,83kg,58 (34-0-24),2,1920-1926,22y 65d,28y 79d
461,8,"Albiston, Ken",1926-11-11,171cm,68kg,58 (29-1-28),76,1946-1951,19y 251d,24y 280d
472,33,"Roberts, Ken",1925-06-03,180cm,73kg,58 (33-1-24),,1947-1951,22y 4d,26y 90d
525,22,"Morcom, Stan",1936-02-07,183cm,81kg,58 (22-0-36),17,1952-1958,16y 191d,22y 197d
751,22,"Lamb, Robert",1955-01-17,185cm,79kg,58 (36-1-21),120,1973-1978,18y 108d,23y 151d
1015,21,"King, Clinton",1978-03-24,179cm,76kg,58 (30-0-28),10,2000-2003,21y 350d,25y 131d
765,26,"Clayton, Cameron",1957-02-05,180cm,85kg,57 (33-1-23),20,1974-1977,17y 158d,20y 196d
772,37,"Jenkinson, Noel",1957-03-18,191cm,80kg,57 (32-2-23),,1975-1979,18y 123d,22y 76d
839,10,"Gepp, Tim",1960-01-21,182cm,85kg,57 (23-0-34),3,1983-1985,23y 64d,25y 222d
1127,27,"Lloyd, Sam",1990-03-03,180cm,81kg,57 (30-0-27),69,2014-2018,24y 39d,28y 167d
1151,20,"Soldo, Ivan",1996-04-14,204cm,106kg,57 (37-2-18),23,"2017-2020, 2022-2023",21y 22d,27y 135d
6,14,"Heaney, Tom",1888-04-02,178cm,86kg,56 (24-1-31),37,1908-1913,20y 30d,25y 24d
300,3,"Benton, Bill",1906-03-11,183cm,87kg,56 (39-1-16),41,1928-1932,22y 48d,26y 190d
667,19,"Davenport, Don",1945-04-18,175cm,76kg,56 (36-0-20),38,"1964-1967, 1969, 1971",19y 56d,26y 111d
820,10,"Smith, Terry",1959-02-06,185cm,84kg,56 (37-1-18),15,"1980-1982, 1986",21y 66d,27y 170d
883,32,"Ryan, Des",1967-10-06,192cm,90kg,56 (18-0-38),29,1986-1992,18y 224d,24y 196d
901,24,"Goodwin, Andy",1963-06-29,188cm,86kg,56 (18-0-38),9,1987-1991,24y 47d,28y 63d
990,13,"Powell, Robert",1976-03-19,180cm,79kg,56 (29-0-27),53,1996-2000,20y 117d,24y 104d
1050,4,"Raines, Andrew",1986-03-08,183cm,82kg,56 (18-1-37),1,2004-2009,18y 173d,23y 76d
1064,14,"Polo, Dean",1986-08-05,187cm,83kg,56 (18-2-36),11,2006-2010,19y 274d,23y 353d
903,42,"Honybun, David",1962-04-03,195cm,91kg,55 (17-0-38),39,1988-1992,26y 1d,30y 147d
400,29,"Randall, Brian",1920-10-12,188cm,86kg,54 (36-1-17),36,1941-1945,20y 238d,24y 282d
556,32,"Allsop, Ray",1933-12-20,166cm,71kg,54 (20-0-34),69,1955-1959,21y 159d,25y 252d
773,15,"Heard, Bob",1949-02-09,202cm,97kg,54 (24-1-29),45,1976-1979,27y 54d,30y 204d
892,19,"Wilson, Peter",1963-11-15,183cm,88kg,54 (17-0-37),39,1987-1989,23y 134d,25y 277d
980,15,"Charles, Justin",1970-09-28,196cm,100kg,54 (28-1-25),38,1995-1998,24y 200d,27y 308d
3,7,"Burns, Bill",1884-08-19,180cm,74kg,53 (15-0-38),10,"1908-1909, 1912-1913, 1916",23y 257d,31y 268d
187,28,"Weatherill, George",1900-05-23,183cm,81kg,53 (31-0-22),5,1919-1923,18y 345d,23y 101d
677,22,"Perry, Mike",1944-05-16,191cm,94kg,53 (40-1-12),6,1965-1969,20y 343d,25y 106d
916,53,"Young, Barry",1970-06-26,183cm,93kg,53 (19-0-34),23,1989-1993,18y 303d,23y 63d
968,14,"Dear, Greg",1963-04-17,198cm,99kg,53 (30-1-22),9,1994-1996,30y 343d,33y 80d
189,9,"Morris, Stan",1893-10-01,170cm,66kg,52 (36-0-16),4,1919-1922,25y 228d,28y 308d
852,7,"Francis, Peter",1958-01-16,185cm,83kg,52 (22-0-30),22,1984-1986,26y 75d,28y 226d
495,16,"Austen, Colin",1920-12-02,175cm,80kg,51 (25-0-26),1,1950-1952,29y 141d,31y 272d
778,24,"Robertson, Graeme",1952-09-25,197cm,86kg,51 (21-1-29),1,"1976-1977, 1979, 1981",23y 247d,28y 317d
50,12,"Oliver, Les",1890-04-14,180cm,70kg,50 (14-1-35),10,"1909-1913, 1915",19y 108d,25y 52d
498,9,"Boland, Brian",1931-07-26,180cm,73kg,50 (24-0-26),6,1950-1954,18y 284d,23y 33d
594,16,"Jacobs, Graham",1940-11-22,170cm,67kg,50 (12-1-37),50,1959-1963,18y 147d,22y 289d
596,18,"Loughran, Peter",1940-12-03,175cm,71kg,50 (10-1-39),6,1959-1963,18y 150d,22y 243d
755,7,"Carter, Noel",1955-02-09,177cm,75kg,50 (31-0-19),55,1973-1977,18y 120d,22y 164d
869,2,"Burton, Chris",1961-10-21,180cm,76kg,50 (16-0-34),8,1985-1988,23y 174d,26y 220d
73,4,"Love, Frank",1888-02-22,188cm,89kg,49 (18-0-31),,1910-1914,22y 144d,26y 69d
255,33,"Empey, Ralph",1904-09-22,175cm,74kg,49 (28-1-20),29,"1924-1925, 1928-1930",19y 350d,26y 5d
386,10,"McDonald, Alan",1918-06-23,173cm,66kg,49 (33-0-16),8,"1939-1941, 1943",20y 345d,24y 326d
653,14,"Warner, Ross",1944-08-02,193cm,86kg,49 (24-0-25),45,1963-1967,18y 303d,22y 298d
734,11,"Fowler, Laurie",1951-12-29,179cm,75kg,49 (36-0-13),7,1971-1974,19y 144d,22y 245d
926,15,"Banik, Anthony",1973-01-17,180cm,85kg,49 (15-0-34),,1990-1994,17y 87d,21y 229d
98,24,"Danks, Arthur",1891-09-05,173cm,73kg,48 (16-0-32),2,1912-1915,20y 270d,23y 350d
769,2,"Roberts, Neville",1955-03-06,180cm,79kg,48 (26-1-21),81,1975-1977,20y 30d,22y 188d
1009,7,"Dragicevic, Marc",1981-03-30,180cm,83kg,48 (22-0-26),25,"1999-2001, 2003-2004",18y 4d,23y 123d
1074,25,"Graham, Angus",1987-04-16,201cm,106kg,48 (15-2-31),18,"2007, 2009-2012",20y 110d,25y 89d
340,2,"Baxter, Dave",1910-12-15,187cm,81kg,47 (33-0-14),53,1934-1936,23y 141d,25y 258d
661,26,"Smith, Kevin",1942-09-21,188cm,92kg,47 (23-0-24),3,1964-1966,21y 210d,23y 326d
822,31,"Welsh, Peter",1954-01-24,180cm,90kg,46 (29-0-17),45,1980-1984,26y 121d,30y 137d
870,28,"Czerkaski, Peter",1964-09-19,185cm,80kg,46 (12-0-34),6,1985-1990,20y 248d,25y 327d
945,18,"Edwards, Stuart",1972-07-21,196cm,96kg,46 (25-0-21),52,"1992, 1994-1996",19y 251d,23y 267d
188,8,"Carew, Bobby",1898-12-01,173cm,73kg,45 (31-0-14),6,1919-1922,20y 160d,23y 289d
885,12,"McKellar, Allan",1967-01-14,178cm,74kg,45 (18-0-27),15,1986-1990,19y 146d,23y 139d
955,31,"Howat, John",1970-07-15,187cm,89kg,45 (20-0-25),2,1993-1996,22y 256d,26y 33d
1147,40,"Butler, Dan",1996-06-03,182cm,80kg,45 (31-0-14),53,2017-2019,20y 293d,23y 61d
1169,31,"Mansell, Rhyan",2000-06-04,180cm,70kg,45 (14-1-30),22,2021-2024,20y 309d,24y 26d
297,22,"Watson, Carl",1904-11-11,175cm,76kg,44 (31-0-13),3,1927-1931,22y 261d,26y 221d
484,4,"ORourke, Jack",1928-07-13,178cm,74kg,44 (20-1-23),134,1949-1953,20y 284d,24y 363d
1012,22,"Biddiscombe, Craig",1976-09-21,185cm,84kg,44 (20-0-24),7,1999-2003,22y 237d,26y 294d
565,20,"Ward, Ken",1935-09-30,173cm,80kg,43 (16-0-27),,1956-1959,20y 218d,23y 326d
623,2,"Robertson, John",1940-02-15,183cm,83kg,43 (13-0-30),1,1961-1965,21y 66d,25y 63d
825,21,"Taylor, Brian",1962-04-10,191cm,91kg,43 (23-0-20),156,1980-1984,18y 121d,22y 123d
925,48,"Ryan, Stephen",1970-07-06,190cm,86kg,43 (12-0-31),39,1990-1993,19y 268d,23y 5d
1155,13,"Higgins, Jack",1999-03-19,177cm,78kg,43 (30-1-12),29,2018-2020,19y 20d,21y 167d
389,4,"Steele, Ray",1917-05-19,183cm,82kg,42 (27-0-15),1,1940-1943,22y 344d,26y 129d
520,5,"Betson, Kevin",1929-11-12,187cm,83kg,42 (17-1-24),2,1952-1955,22y 215d,25y 246d
626,23,"Williamson, Gary",1941-09-25,198cm,85kg,42 (11-0-31),24,1961-1964,19y 223d,22y 283d
669,32,"Dimattina, Frank",1946-12-03,175cm,77kg,42 (23-1-18),44,1964-1968,17y 235d,21y 174d
891,15,"Thomson, Michael",1961-11-26,187cm,86kg,42 (10-0-32),15,1987-1990,25y 123d,28y 131d
1130,28,"Hunt, Taylor",1990-11-05,184cm,80kg,42 (23-0-19),2,2015-2017,24y 148d,26y 245d
1167,16,"Aarts, Jake",1994-12-08,177cm,75kg,42 (21-1-20),34,2020-2022,25y 210d,27y 220d
1172,13,"Ralphsmith, Hugo",2001-11-09,186cm,70kg,42 (15-1-26),11,2021-2024,19y 187d,22y 234d
81,9,"Farrell, Ted",1889-10-19,178cm,75kg,41 (13-0-28),2,1911-1914,21y 213d,24y 279d
542,6,"Sharp, Laurie",1935-08-25,178cm,83kg,41 (17-0-24),14,1954-1957,18y 237d,21y 343d
154,19,"Shand, Jimmy",1893-08-02,182cm,70kg,40 (16-0-24),3,1916-1919,22y 278d,25y 295d
231,22,"Spain, Jim",1902-09-17,183cm,76kg,40 (23-0-17),2,"1923-1925, 1927",20y 251d,24y 358d
506,30,"Ritchie, John",1932-01-04,178cm,74kg,40 (20-0-20),2,1951-1955,19y 128d,23y 221d
646,23,"Hogan, Peter",1945-11-28,173cm,76kg,40 (17-1-22),57,1963-1966,17y 143d,20y 265d
656,11,"Madigan, Owen",1942-04-04,179cm,76kg,40 (20-1-19),1,1963-1966,21y 121d,24y 138d
770,3,"Pitura, John",1950-09-21,185cm,86kg,40 (21-0-19),24,1975-1977,24y 245d,26y 354d
782,36,"Scrimshaw, Ian",1954-12-24,185cm,86kg,40 (22-1-17),26,1976-1981,21y 199d,26y 157d
845,24,"Peart, Neil",1958-10-05,188cm,95kg,40 (19-0-21),9,"1983-1984, 1986-1987",24y 207d,28y 209d
854,16,"Walsh, Phil",1960-03-15,180cm,80kg,40 (17-0-23),14,1984-1986,24y 16d,26y 140d
10,,"Luff, Bill",1886-01-15,191cm,73kg,39 (14-0-25),,1908-1910,22y 108d,24y 161d
62,17,"Maguire, Mick",1894-06-06,177cm,71kg,39 (15-1-23),62,1910-1912,15y 328d,18y 2d
307,15,"Oakley, Allan",1907-01-07,173cm,73kg,39 (26-1-12),24,1928-1931,21y 224d,24y 143d
741,31,"McLean, Ricky",1947-11-08,185cm,92kg,39 (29-1-9),103,"1972-1974, 1976",24y 147d,28y 266d
1136,37,"Menadue, Connor",1996-09-19,187cm,80kg,39 (23-0-16),11,2015-2019,18y 240d,22y 267d
35,,"Bourke, Paddy",1883-03-26,185cm,83kg,38 (14-1-23),28,1909-1911,26y 36d,28y 111d
146,24,"Alessio, Harry",1895-12-22,175cm,71kg,38 (13-1-24),34,1915-1919,19y 221d,23y 209d
259,3,"Robinson, George",1901-05-25,173cm,,38 (16-1-21),16,1925-1927,23y 342d,26y 129d
299,7,"Bisset, Jack",1900-09-01,180cm,83kg,38 (29-0-9),9,"1928, 1931",27y 233d,31y 39d
479,25,"Sier, Ken",1922-01-27,185cm,79kg,38 (23-1-14),13,1948-1950,26y 102d,28y 162d
723,18,"Hollick, Greg",1951-10-07,185cm,80kg,38 (27-1-10),19,1970-1972,18y 270d,20y 352d
1023,19,"Sziller, Steven",1972-12-15,176cm,81kg,38 (18-0-20),3,2001-2002,28y 107d,29y 259d
1068,6,"Polak, Graham",1984-06-16,194cm,94kg,38 (8-2-28),16,2007-2010,22y 289d,25y 347d
1176,46,"Miller, Ben",1999-08-31,195cm,95kg,38 (14-3-21),9,2021-2024,21y 355d,24y 304d
253,13,"Millar, Keith",1906-08-15,183cm,82kg,37 (24-0-13),38,"1924-1927, 1930",17y 318d,23y 303d
327,2,"Twyford, Jack",1908-10-12,173cm,68kg,37 (29-1-7),14,1931-1933,22y 230d,24y 346d
658,16,"Busse, Neil",1945-04-03,189cm,83kg,37 (19-1-17),9,1964-1967,19y 15d,22y 110d
819,11,"Sarah, Paul",1953-12-19,177cm,70kg,37 (22-1-14),51,1980-1983,26y 115d,29y 251d
898,36,"Nixon, Richard",1965-10-29,195cm,91kg,37 (9-0-28),3,1987-1990,21y 227d,24y 308d
147,10,"Burke, Leo",1891-09-10,179cm,,36 (13-1-22),,1915-1919,23y 324d,27y 305d
238,25,"McCaskill, Bob",1895-09-27,178cm,76kg,35 (18-1-16),,1923-1925,27y 283d,29y 315d
451,18,"Ross, Noel",1922-12-25,183cm,83kg,35 (18-0-17),38,"1945-1947, 1949",22y 180d,26y 203d
857,32,"Stewart, Craig",1956-09-15,193cm,99kg,35 (14-0-21),3,1984-1986,27y 223d,29y 237d
1041,33,"Hartigan, Brent",1985-04-07,178cm,78kg,35 (12-0-23),3,2004-2007,18y 354d,22y 99d
1124,16,"Hampson, Shaun",1988-03-21,201cm,106kg,35 (13-0-22),6,2014-2016,25y 359d,28y 159d
1161,44,"Stack, Sydney",2000-04-28,179cm,72kg,35 (21-2-12),14,2019-2022,18y 343d,22y 9d
1175,10,"Rioli, Maurice",2002-09-01,179cm,75kg,35 (17-2-16),25,2021-2024,18y 340d,21y 253d
205,13,"Turnbull, Norm",1894-06-15,169cm,66kg,34 (18-0-16),25,1921-1923,26y 326d,29y 85d
352,25,"Scriven, Ray",1912-01-09,170cm,67kg,34 (19-1-14),2,1935-1938,23y 164d,26y 132d
372,5,"OConnell, Maurie",1917-03-05,180cm,73kg,34 (21-0-13),41,"1937, 1939-1941",20y 120d,24y 185d
421,5,"Kemp, Arthur",1921-09-06,187cm,90kg,34 (18-0-16),4,1943-1946,21y 244d,24y 289d
475,30,"Currie, Max",1926-05-26,193cm,83kg,34 (16-0-18),17,1947-1951,21y 68d,25y 49d
557,39,"Jenkins, John",1936-02-20,196cm,98kg,34 (15-0-19),34,1955-1959,19y 139d,23y 127d
933,28,"McQueen, Mark",1970-01-09,187cm,95kg,34 (9-0-25),14,1991-1994,21y 73d,24y 223d
1019,41,"Vardy, Royce",1980-05-03,191cm,94kg,34 (18-0-16),3,2000-2003,20y 3d,23y 28d
1036,19,"Fleming, Tim",1978-04-05,184cm,84kg,34 (8-0-26),10,2003-2004,25y 8d,26y 145d
1075,13,"McMahon, Jordan",1983-05-27,186cm,80kg,34 (14-2-18),9,2008-2009,24y 298d,26y 93d
155,12,"Taylor, Roy",1896-04-11,184cm,,33 (10-1-22),13,1916-1918,20y 25d,22y 121d
195,25,"Huggard, Frank",1894-02-01,180cm,83kg,33 (17-0-16),2,"1919-1920, 1922-1925",25y 196d,31y 223d
406,4,"Russell, Wally",1923-03-25,178cm,80kg,33 (19-0-14),11,"1942-1943, 1945-1948",19y 45d,25y 65d
430,24,"Broadstock, Jack",1920-12-01,183cm,87kg,33 (21-0-12),23,1943-1946,22y 249d,25y 273d
481,28,"Stokes, Jervis",1927-09-21,180cm,78kg,33 (21-0-12),32,1948-1950,20y 251d,22y 318d
540,11,"Deane, Jim",1928-01-02,180cm,81kg,33 (17-0-16),17,1954-1955,26y 107d,27y 230d
680,21,"Erwin, Mick",1943-06-06,187cm,86kg,33 (22-0-11),37,1965-1968,21y 357d,24y 354d
708,52,"Owen, Ian",1948-07-21,188cm,83kg,33 (22-0-11),,1969-1972,20y 279d,23y 346d
715,16,"Beard, Colin",1941-12-12,188cm,94kg,33 (24-0-9),,1969-1971,27y 205d,29y 252d
1027,44,"Houlihan, Adam",1978-04-06,185cm,84kg,33 (8-0-25),24,2002-2004,23y 356d,26y 131d
1,,"Bourke, Bill",1882-07-23,,75kg,32 (11-0-21),45,1908-1909,25y 284d,27y 43d
4,,"Condon, Dick",1876-03-19,180cm,72kg,32 (12-0-20),26,1908-1909,32y 44d,33y 155d
23,,"Lawson, Ivor",1883-05-02,178cm,74kg,32 (11-0-21),3,1908-1909,25y 14d,26y 125d
243,29,"Bourke, Ted",1904-02-17,185cm,80kg,32 (15-1-16),15,1924-1926,20y 69d,22y 101d
519,37,"Cox, Graham",1933-06-26,178cm,71kg,32 (12-1-19),15,1952-1956,18y 349d,22y 321d
828,15,"Martello, Alan",1952-09-14,193cm,100kg,32 (20-0-12),3,1981-1983,28y 286d,30y 326d
1080,32,"Cousins, Ben",1978-06-30,179cm,78kg,32 (9-0-23),12,2009-2010,30y 269d,32y 60d
27,,"Neil, Harry",1882-09-13,178cm,73kg,31 (12-0-19),,1908-1910,25y 260d,27y 257d
67,,"Abbott, Les",1885-06-09,178cm,,31 (12-1-18),,1910-1911,24y 353d,26y 78d
111,16,"Morgan, Fred",1891-10-29,168cm,,31 (10-0-21),2,1913-1915,21y 179d,23y 240d
398,26,"Sullivan, Jack",1919-04-02,185cm,88kg,31 (20-0-11),9,"1941-1943, 1946",22y 45d,27y 53d
569,10,"Naismith, Vic",1936-05-01,188cm,92kg,31 (16-0-15),7,1956-1958,20y 34d,22y 58d
663,31,"Hammond, Mike",1945-07-10,191cm,96kg,31 (15-1-15),10,1964-1966,18y 297d,20y 343d
763,5,"Andrews, Gareth",1946-12-21,191cm,90kg,31 (21-0-10),1,1974-1975,27y 155d,28y 273d
807,6,"Mount, Stephen",1960-03-05,187cm,86kg,31 (16-0-15),9,1979-1982,19y 33d,22y 120d
1094,7,"Dea, Matt",1991-10-13,186cm,85kg,31 (13-1-17),1,2010-2014,18y 187d,22y 265d
1146,41,"Chol, Mabior",1997-01-29,200cm,91kg,31 (19-1-11),24,"2016, 2019-2021",19y 211d,24y 204d
1168,27,"Dow, Thomson",2001-10-16,182cm,76kg,31 (8-1-22),1,2020-2024,18y 316d,22y 243d
1184,14,"Taranto, Tim",1998-01-28,187cm,87kg,31 (12-1-18),24,2023-2024,25y 47d,26y 154d
125,7,"Nolan, Bill",1888-09-04,180cm,89kg,30 (12-0-18),4,1914-1915,25y 233d,26y 330d
143,7,"Stewart, Ray",1892-02-23,180cm,76kg,30 (8-1-21),,1915-1918,23y 95d,26y 91d
345,7,"Edmonds, Horrie",1908-12-23,175cm,85kg,30 (22-0-8),20,1934-1935,25y 196d,26y 279d
636,20,"Hayden, Ian",1941-04-14,185cm,89kg,30 (7-0-23),42,1962-1964,21y 7d,23y 11d
738,42,"Allford, Grant",1950-12-05,184cm,80kg,30 (22-0-8),1,1971-1973,20y 217d,22y 277d
988,37,"Ryan, Damien",1977-08-03,188cm,85kg,30 (14-0-16),6,1996-1998,18y 297d,21y 13d
1001,23,"James, Aaron",1976-10-31,194cm,102kg,30 (13-0-17),19,1998-2000,21y 162d,23y 280d
1087,37,"Post, Jayden",1989-12-05,195cm,93kg,30 (10-2-18),6,2009-2012,19y 211d,22y 272d
1116,13,"Petterd, Ricky",1988-07-24,185cm,85kg,30 (16-0-14),17,2013-2015,24y 255d,26y 261d
612,2,"Wilkinson, Graeme",1938-03-31,185cm,86kg,29 (6-2-21),32,1960-1961,22y 18d,23y 120d
911,19,"Hamilton, Greg",1968-06-24,188cm,82kg,29 (7-0-22),17,"1988-1990, 1992",19y 326d,23y 348d
1073,19,"Connors, Daniel",1988-09-22,186cm,84kg,29 (11-1-17),11,2007-2012,18y 309d,23y 282d
263,31,"Huggard, Jack",1901-08-25,177cm,70kg,28 (17-1-10),43,1925-1927,23y 271d,26y 2d
271,19,"Lunn, Bennie",1905-06-11,178cm,76kg,28 (17-0-11),,"1925-1926, 1928-1929",20y 79d,24y 4d
360,14,"Dickson, Norm",1915-10-08,183cm,86kg,28 (16-1-11),25,1936-1939,20y 319d,23y 336d
363,8,"Henderson, Reg",1910-12-01,183cm,72kg,28 (15-1-12),8,1937-1938,26y 144d,27y 269d
624,38,"Serich, Ron",1940-06-18,180cm,83kg,28 (9-0-19),36,1961-1963,20y 308d,23y 81d
717,41,"Cloke, Peter",1951-07-02,185cm,84kg,28 (16-0-12),4,1970-1973,18y 283d,21y 297d
874,58,"Notting, Dean",1966-01-14,182cm,76kg,28 (9-0-19),17,1985-1987,19y 208d,21y 226d
948,5,"Lennon, Bruce",1970-12-01,188cm,84kg,28 (6-0-22),7,1992-1993,21y 147d,22y 270d
994,19,"Evans, Brett",1972-05-26,186cm,85kg,28 (12-0-16),26,1997-2000,24y 364d,28y 29d
1089,15,"Farmer, Mitch",1989-01-04,180cm,77kg,28 (11-0-17),8,2010-2011,21y 80d,22y 243d
1185,45,"Young, Tylar",1998-09-05,196cm,97kg,28 (9-0-19),,2023-2024,24y 201d,25y 256d
497,22,"Horwood, Ray",1927-12-01,163cm,61kg,27 (19-0-8),26,1950-1952,22y 142d,24y 161d
767,14,"Thorpe, David",1948-05-30,185cm,83kg,27 (16-0-11),24,1974-1976,26y 44d,28y 20d
813,9,"Williams, Shane",1959-08-14,184cm,89kg,27 (18-0-9),14,1979-1983,19y 308d,23y 238d
881,18,"Clark, Simon",1967-02-16,195cm,85kg,27 (7-0-20),6,1986-1988,19y 62d,21y 102d
987,27,"Funcke, Ross",1977-11-16,183cm,85kg,27 (12-0-15),1,1996-1999,18y 170d,21y 277d
1010,26,"Sampson, Clay",1976-02-24,178cm,78kg,27 (9-0-18),18,1999-2000,23y 58d,24y 128d
1134,32,"Ellis, Corey",1996-10-09,184cm,79kg,27 (13-0-14),7,2015-2018,18y 205d,21y 278d
112,20,"Richardson, Ned",1886-05-26,180cm,,26 (9-0-17),4,1913-1915,26y 335d,28y 340d
145,13,"Briscoe, Billy",1892-01-11,170cm,78kg,26 (8-0-18),6,1915-1918,23y 180d,26y 211d
201,23,"Karthaus, Jim",1898-06-23,173cm,67kg,26 (13-0-13),2,1920-1924,22y 45d,26y 96d
370,4,"Bates, George",1914-01-05,180cm,80kg,26 (15-0-11),4,1937-1939,23y 137d,25y 149d
434,12,"Cook, Keith",1922-12-04,180cm,77kg,26 (16-1-9),1,1944-1946,21y 154d,23y 137d
464,20,"Evans, Ron",1926-02-20,175cm,67kg,26 (13-1-12),36,1946-1949,20y 171d,23y 160d
476,11,"Roberts, Jack",1926-11-20,183cm,79kg,26 (15-1-10),,1947-1950,20y 255d,23y 244d
539,26,"Hall, Reg",1932-03-20,166cm,64kg,26 (14-0-12),6,1953-1955,21y 155d,23y 125d
560,25,"Flannagan, Charlie",1933-10-24,185cm,84kg,26 (11-0-15),,1955-1958,21y 300d,24y 282d
660,33,"Perry, John",1945-03-13,183cm,76kg,26 (19-0-7),1,1964-1969,19y 36d,24y 142d
742,14,"McMillan, Marty",1953-02-17,180cm,80kg,26 (17-1-8),13,1972-1974,19y 58d,21y 83d
803,38,"Bottams, Phillip",1957-08-24,180cm,79kg,26 (15-0-11),4,1978-1981,20y 311d,23y 349d
893,38,"Laffy, Michael",1967-10-16,194cm,95kg,26 (11-0-15),,1987-1990,19y 170d,22y 321d
975,19,"Neeld, Mark",1971-07-13,188cm,88kg,26 (14-1-11),16,1994-1996,22y 298d,24y 318d
393,25,"Quinn, Roy",1919-06-18,185cm,82kg,25 (15-1-9),25,"1940-1941, 1943-1944",20y 363d,25y 90d
